La Condesa, Paris 9e
L'Innocence, Paris 9e
Louis, Paris 9e
NESO, Paris 9e
Abri, Paris 10e
Automne, Paris 11e
FIEF, Paris 11e
Qui Plume La Lune, Paris 11e
Le Rigmarole, Paris 11e
Septime, Paris 11e
Virtus, Paris 12e
Neige d'Été, Paris 15e
Alan Geaam, Paris 16e
L'Archeste, Paris 16e
Bellefeuille - Saint James Paris, Paris 16e
Comice, Paris 16e
Don Juan II, Paris 16e
La Grande Cascade, Paris 16e
Nomicos, Paris 16e
Pages, Paris 16e
Shang Palace, Paris 16e
Substance, Paris 16e
Agapé, Paris 17e
Le Faham by Kelly Rangama, Paris 17e
Frédéric Simonin, Paris 17e
Jacques Faussat, Paris 17e
La Scène, Thélème Paris 17e
L'Arcane, Paris 18e
Sushi Shunei, Paris 18e
L'Essentiel, Périgueux (24)
Un Parfum de Gourmandise, Périgueux (24)
La Galinette, Perpignan (66)
La Promenade, Le Petit-Pressigny (37)
Restaurant de Lauzun, Pézenas (34)
Auberge à la Bonne Idée, Saint-Jean-aux-Bois (60)
La Table de La Butte, Plouider (29)
Moulin de Rosmadec, Pont-Aven (29)
Auberge du Pont, Pont-du-Château (63)
Le Raisin, Pont-de-Vaux (01)
L'Or Q'idée, Pontoise (95)
Le Château de Sable, Porspoder (29)
Avel Vor, Port-Louis (56)
Entre Vigne et Garrigue, Pujaut (30)
Michel Trama, Puymirol (47)
Hélène Darroze à Villa La Coste, Le Puy-Sainte-Réparade (13)
Le Petit Hôtel du Grand Large, Saint-Pierre-Quiberon (56)
Allium, Quimper (29)
Le Foch, Reims (51)
Le Grand Cerf, Montchenot (51)
Holen, Rennes (35)
Ima, Rennes (35)
Racines, Rennes (35)
Auberge du Pont d'Acigné, Noyal-sur-Vilaine (35)
La Huchette, Replonges (01)
Au Vieux Couvent, Rhinau (67)
La Table du Gourmet, Riquewihr (68)
Maximilien, Zellenberg (68)
L'Hysope, La Jarrie (17)
Le Moulin de la Gorce, La Roche-l'Abeille (87)
Le Panoramique - Domaine de la Corniche, Rolleboise (78)
Grand Hôtel du Lion d'Or, Romorantin-Lanthenay (41)
Ceto, Roquebrune-Cap-Martin (06)
Le Brittany, Roscoff (29)
L'Odas, Rouen (76)
L'Aquarelle, Breuillet (17)
Ochre, Rueil Malmaison (92)
