Maison Jeunet, Arbois (39)
Le Skiff Club, Bassin d'Arcachon / Le Pyla-sur-Mer (33)
Lalique, Bommes (33)
Le Pressoir d'Argent-Gordon Ramsay, Bordeaux (33)
La Grand'Vigne,  Martillac (33)
Le Coquillage,  Cancale (35)
La Palme d'Or, Cannes (06)
La Table de Franck Putelat, Carcassonne (11)
Serge Vieira, Chaudes-Aigues (15)
Le Pré - Xavier Beaudiment, Clermont-Ferrand (63)
JY'S, Colmar (68)
Le Chabichou by Stéphane Buron, Courchevel 1850 (73)
Le Montgomerie,  Courchevel 1850 (73)
Le Kintessence,  Courchevel 1850 (73)
William Frachot, Dijon (21)
La Chèvre d'Or, Èze (06)
Le Puits St-Jacques, Pujaudran (32)
La Côte St-Jacques, Joigny (89)
La Table d'Olivier Nasti, Kaysersberg (68)
La Merise, Laubach (67)
La Table de l'Alpaga, Megève (74)
La Maison d'à Côté, Montlivault (41)
Blue Bay, Monaco (98)
La Table Lionel Giraud, Narbonne (11)
Palais Royal Restaurant, Paris 1er
Sur Mesure par Thierry Marx, Paris 1er
Marsan par Hélène Darroze, Paris 6e
Le Grand Restaurant-Jean-François Piège, Paris 8e
La Scène, Paris 8e
Table - Bruno Verjus, Paris 12e
Anne de Bretagne, La Plaine-sur-Mer (44)
L'Auberge des Glazicks, Plomodiern (29)
Casadelmar, Porto-Vecchio (2A)
La Voile, Ramatuelle (83)
Le Parc Les Crayères, Reims (51)
Au 14 Février, Saint -Amour- Bellevue (71)
Hostellerie de Plaisance, Saint-Émilion (33)
Jean Sulpice, Talloires (74)
Py-r, Toulouse (31)
Hostellerie Jérôme, La Turbie (06)
La Pyramide-Patrick Henriroux, Vienne (38)
Villa René Lalique, Wingen-sur-Moder (67)
