Le Clos des Sens, Annecy (74)
L'Oustau de Baumanière, Les Baux-de-Provence (13)
La Villa Madie, Cassis (13)
Christophe Bacquié, Le Castellet (83)
Maison Lameloise, Chagny (71)
Le 1947 au Cheval Blanc, Courchevel / Courchevel 1850 (73)
Les Prés d'Eugénie - Michel Guérard, Eugénie-les-Bains (40)
Auberge du Vieux Puits, Fontjoncouse (11)
AM par Alexandre Mazzia, Marseille (13)
Le Petit Nice, Marseille (13)
Flocons de Sel, Megève / Leutaz (74)
Mirazur, Menton (06)
Le Louis XV-Alain Ducasse à l'Hôtel de Paris, Monaco (98)
Kei, Paris 1er
Plénitude - Cheval Blanc Paris, Paris, 1er
L'Ambroisie, Paris 4e
Guy Savoy, Paris 6e
Arpège, Paris 7e
Le Cinq, Paris 8e
Épicure au Bristol, Paris 8e
Alléno Paris au Pavillon Ledoyen, Paris 8e
Pierre Gagnaire, Paris 8e
Le Pré Catelan, Paris 16e
Assiette Champenoise, Reims (51)
Troisgros - Le Bois sans Feuilles, Ouches (42)
Christopher Coutanceau, La Rochelle (17)
Régis et Jacques Marcon, Saint-Bonnet-le-Froid (43)
René et Maxime Meilleur, Saint-Martin-de-Belleville (73)
La Vague d'Or - Cheval Blanc, St-Tropez (83)
Pic, Valence (26)
Georges Blanc, Vonnas (01)
